,name,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
50,Brookville Area School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2944635785548269,-0.5684959139408918,-0.08295642471376644,1.6851791569804646,-0.1594835312238368,-0.471731637379869,-0.6837166060687205,-0.5085304925511359,-0.6247373878208488,0.8993785626228628,-0.9514353787589793,-0.13203262305111596,-0.5759044153668768,-0.5924903367155384,-0.2751887021375348,0.2672259423155106,-0.05715411081723165,-0.20194110320895625,-0.049591196021488315,41.173595,-79.090371
51,Brownsville Area School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2770632508529914,-0.6174230372690231,-0.056985564186755634,-0.33407525425974816,0.5064769882798832,-0.5407284386654247,0.20941058353413697,0.11831242638868568,-0.5642029015477698,0.05098702312196118,1.6421698041087271,1.1476672923517697,-0.5759044153668768,1.9394148452667224,-1.0342393483852255,1.024872221948698,-0.5295334283791135,-0.5793516294309382,2.309146418382394,40.0054,-79.94129
52,Burgettstown Area School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3549340243305128,-0.9109857772378106,-0.07364078995951256,0.14242532618125037,-0.4924637909756968,-0.4947305711417209,0.20941058353413697,-0.43973065998457017,-0.6333851715741458,0.7241672664215897,-0.13240216311654565,-0.30574754369404167,-0.5998404726105941,0.9899504020233749,0.06983431888414228,-0.0771587302450287,-0.3523911842934078,-0.20194110320895625,-0.3116731531774753,40.397245,-80.389023
53,Burrell School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.22313946302453078,-0.17707892731584196,-0.08493246844951727,-0.6278259202218345,-0.1594835312238368,-0.4947305711417209,0.20941058353413697,-0.3632864015772748,-0.5382595502878788,0.631950794736709,-0.13240216311654565,-0.4157669934345616,-0.6237765298543115,-1.0144745337125822,0.69087575672316,-0.6281742063418946,-0.5295334283791135,-0.20194110320895625,-0.7047960889114557,40.581731,-79.698538
54,Butler Area School District,9,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.5014722034499273,0.9482449092311767,-0.018593857320739662,0.5231950997875536,0.5064769882798832,-0.4947305711417209,0.20941058353413697,-0.3709308274180043,-0.5209639827812848,0.6550049126579292,-0.37811212780927583,-0.1436136177606445,-0.5280323008794419,0.5415921927140164,-0.20618409793319842,0.19834900780340178,0.17903554796370938,-0.5793516294309382,-0.049591196021488315,40.861332,-79.918067
55,California Area School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.36148068227773805,-0.6174230372690231,-0.08352100863826667,-0.5502037015920662,0.8394572480317433,-0.5407284386654247,1.1025377731369945,-0.19510903308122515,-0.4258383614950177,0.2584740844129426,1.0415454459709421,0.4006931335871893,-0.5280323008794419,0.4624701557770705,0.9668941735405057,-0.9725588789024339,-0.883817916550525,-0.3906463663199472,-0.1806321745994818,40.043345,-79.924259
56,Cambria Heights School District,3,"PreKH, PreKF, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3058340897263234,-0.22600605064397303,-0.08521476041176738,0.19851300748624043,0.17349672852802323,-0.5637273724272767,1.1025377731369945,-0.5008860667104064,-0.6679763065873338,0.894767739038619,-0.7603276284424115,0.13433025526803646,-0.5998404726105941,-0.7507344105894301,0.48386194411015576,-0.49042033731767687,-0.7657230871600547,-0.5793516294309382,-0.3116731531774753,40.631904,-78.628826
57,Cameron County School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4272918226945814,-1.1066942705503355,-0.08606163629851774,3.0112172348839583,-0.4924637909756968,-0.2647412335232015,-0.6837166060687205,-0.523819344232595,-0.4171905777417207,0.756443031511298,-0.8968331643828171,0.4354361177157745,-0.647712587098029,-0.4606202751539623,-1.2412531609982298,1.2315030254850197,1.2418890124779434,-0.5793516294309382,0.3435317397124921,41.513451,-78.245916
58,Camp Hill School District,4,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.30962426011682226,0.9482449092311767,-0.08577934433626762,-0.8679360113931099,-0.1594835312238368,0.49422358061791233,-0.6837166060687205,-0.2715532914885205,0.19680206874236633,-0.09194850798960423,0.3317166590808332,-1.7533718823850895,0.5251542178441252,-1.489206755334256,0.345852735701483,-0.35266646829345916,-0.883817916550525,1.213348370123476,-1.4910419603794167,40.238772,-76.927673
60,Canton Area School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.38336030225925405,1.4375161425124892,-0.08577934433626762,1.180683678017255,0.8394572480317433,-0.44873270361801704,1.995664962739852,-0.4779527891882178,-0.40854279398842375,0.7103347956688577,-0.7876287356304926,0.5859890489396435,-0.5759044153668768,0.5152181804017008,-0.20618409793319842,0.19834900780340178,0.7695096949160618,-0.5793516294309382,0.9987366326024596,41.656557,-76.843744
