District Name,DistrictType,Virtual,Hybrid,In_Person,mean_proficient_english_2019,mean_proficient_math_2019,mean_proficient_english_2022,mean_proficient_math_2022,Unnamed: 0,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
BENTON AREA SCHOOL DISTRICT,Regular local school district,1.0,6.0,2.0,54.5,25.05,48.65000000000001,21.2,27.0,3.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4148876286893124,-1.204548517206598,-0.0874730961097683,0.0624538852978699,-0.4924637909756968,-0.4947305711417209,1.1025377731369943,-0.3479975498958157,-0.4517817127549087,0.7748863258482738,-1.2790486650159527,-0.0972896389225311,-0.5998404726105941,0.0932339834046568,1.4499264029708507,-1.454697420487186,-0.8247705018552898,-0.5793516294309382,-0.1806321745994818,41.200216,-76.378638
BENTWORTH SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,48.15000000000001,31.45,48.1,30.15,28.0,3.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3371891356840865,-1.155621393878467,-0.0801335050912652,-0.3104851474630594,-0.4924637909756968,-0.471731637379869,0.2094105835341369,-0.3709308274180043,-0.6506807390807398,0.6872806777476376,-0.0777999487403836,0.3717406468133683,-0.647712587098029,0.3042260819031788,0.1388389230884786,-0.1460356647571375,0.5333200361351206,-0.5793516294309382,-0.0495911960214883,40.127052,-80.027805
BERKS CTC,Specialized public school district,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLIN BROTHERSVALLEY SCHOOL DISTRICT,Regular local school district,0.0,8.0,1.0,44.7,35.55,42.6,29.7,,,,,,,,,,,,,,,,,,,,,,,,
BERMUDIAN SPRINGS SCHOOL DISTRICT,Regular local school district,0.0,6.0,3.0,49.3,31.85,40.95,24.2,30.0,3.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2129749151591021,-0.226006050643973,-0.0654543230542591,-0.1519126453442391,-0.1594835312238368,-0.471731637379869,-0.6837166060687205,-0.5008860667104064,0.4908267163544644,0.1800900834807939,-0.2143054846807892,-0.5547389299489021,0.0943051874572113,-1.937564964643615,0.0008297146798058,0.060595138779184,-0.2342963549029374,-0.5793516294309382,-0.4427141317554687,39.979078,-77.083953
BERWICK AREA SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,44.425,33.6,38.95,26.325,31.0,5.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.0696375622093281,-0.4706416672846293,-0.060373067733757,0.003136023394163,-0.1594835312238368,-0.4947305711417209,-0.6837166060687205,-0.3479975498958157,0.5513612026275433,0.1017060825486452,-0.4600154493735191,0.3543691547490759,0.1182412447009288,0.0141119464677119,1.3119171945621828,-1.3169435514629733,0.1790355479637093,0.0811167914575301,-0.0495911960214883,41.066654,-76.222652
BETHEL PARK SCHOOL DISTRICT,Regular local school district,2.0,7.0,0.0,45.84285714285714,35.37142857142857,50.05714285714286,34.54285714285714,32.0,8.0,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.1741393060886647,0.7036092925905204,-0.0733584979972624,-0.7736734684669223,-0.1594835312238368,0.6782150507127279,1.1025377731369943,-0.3403531240550861,-0.5382595502878788,0.3875771447717754,-0.1870043774927079,-1.7244193956112686,-0.1450553849799629,-0.0386360781569192,-0.8272255357722162,0.8182414184123715,-1.0609601606362309,-0.5793516294309382,-1.3600009818014231,40.33704,-80.04594
BETHLEHEM AREA SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,42.125,23.73,39.035,19.81,33.0,22.0,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.6941699131509906,0.6546821692623893,0.4940483461254736,-0.4769862746878207,0.5064769882798832,0.0802427729045774,1.1025377731369943,0.3323563499291124,3.2927086524226925,-1.82561817566536,-0.9514353787589792,0.7423324775182765,1.386852278617953,-0.2232541643431256,-0.137179493728862,0.1294720732912929,0.1790355479637093,-0.5793516294309382,0.4745727182904856,40.633715,-75.36104
BETHLEHEM AVTS,Specialized public school district,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHLEHEM-CENTER SCHOOL DISTRICT,Regular local school district,0.0,6.0,3.0,44.05,21.75,39.45,17.35,,,,,,,,,,,,,,,,,,,,,,,,
