"","id","subclass","weights","District.Name","DistrictType","Virtual","Hybrid","In_Person","mean_proficient_english_2019","mean_proficient_math_2019","mean_proficient_english_2022","mean_proficient_math_2022","Unnamed..0","NumberofSchools","GradesOffered","DistrictEnrollment","PercentofGiftedStudents","CharterSchoolEnrollment","GeographicSizeofDistrict","AmericanIndian_AlaskanNative","Asian","NativeHawaiianorotherPacificIslander","Black","Hispanic","White","TwoOrMoreRaces","EconomicallyDisadvantaged","EnglishLearner","SpecialEducation","Female","Male","Homeless","MilitaryConnected","perc_unconnected_students","Latitude","Longitude","treatment","distance"
"213","250","107",1,"NORTHEAST BRADFORD SCHOOL DISTRICT","Regular local school district",0,4,5,46.25,28.6,44.9,26.65,292,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.405412202713065,-0.715277283925286,-0.086908512185268,0.74421776014823,0.839457248031743,-0.563727372427277,-0.68371660606872,-0.477952789188218,-0.296121605195563,0.733388913590078,-1.08794091469939,0.0474727949465736,-0.0493111560050932,0.436096143464755,-0.275188702137535,0.267225942315511,-0.0571541108172316,-0.579351629430938,0.0814497825565051,41.862222,-76.235954,1,0.686399213671016
"214","94","107",1,"CURWENSVILLE AREA SCHOOL DISTRICT","Regular local school district",0,9,0,51.55,38.4,44.35,31.3,109,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3516606953569,-0.421714543956498,-0.0883199719965186,0.252740887840454,0.173496728528023,-0.517729504903573,-0.68371660606872,-0.500886066710406,-0.685271874093928,0.968540916386523,-1.16984423626363,0.157492244687093,-0.647712587098029,0.726210278900223,0.0008297146798058,-0.0082817957329198,0.119988133268474,1.59075889634546,0.212490761134499,40.967899,-78.520959,0,0.638750979445543
"215","251","108",1,"NORTHEASTERN YORK SCHOOL DISTRICT","Regular local school district",0,6,3,52.1857142857143,34.4,48.3142857142857,31.1428571428571,293,8,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.147435832882878,-0.764204407253417,-0.0239574046034918,-0.394469843029694,0.839457248031743,0.172238507951985,0.209410583534137,0.103023574707227,0.231393203755554,-0.317878863617561,0.522824409397401,-0.166775607179701,0.716642675793865,-1.64745082920815,-0.275188702137535,0.267225942315511,-0.352391184293408,-0.579351629430938,-0.311673153177475,40.058709,-76.725699,1,0.547357037999701
"216","377","108",1,"UNION AREA SCHOOL DISTRICT","Regular local school district",3,6,0,42.9,33.1,40.95,32.55,439,3,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.401966593267157,-1.10669427055034,-0.0874730961097683,-0.771715783255579,0.506476988279883,-0.494730571141721,-0.68371660606872,0.340000775769842,-0.616089604067552,0.110927729717133,0.659329945337807,0.6091510383587,-0.623776529854312,-0.0913841027815495,0.207843527292815,-0.214912599269246,-0.529533428379114,-0.579351629430938,0.212490761134499,40.999056,-80.384393,0,0.454477342365316
"217","252","109",1,"NORTHERN CAMBRIA SCHOOL DISTRICT","Regular local school district",0,6,3,50,30.25,34.6,24.2,295,3,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.385255387454503,-0.0792246806595793,-0.0790043372422648,-0.277498151651922,0.506476988279883,-0.471731637379869,-0.68371660606872,-0.462663937506759,-0.65068073908074,0.871713621117399,-0.896833164382817,0.580198551584879,-0.647712587098029,0.251478057278548,2.34698625762721,-2.35009756914459,0.887604524306532,0.458527317679512,-0.0495911960214883,40.656293,-78.787789,1,0.705999025234969
"218","181","109",1,"KARNS CITY AREA SCHOOL DISTRICT","Regular local school district",0,9,0,51.2666666666667,31.9666666666667,45.0666666666667,24.9333333333333,208,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.296703224694667,0.752536415918652,-0.0832387166760165,0.396043445310796,-0.492463790975697,-0.563727372427277,-0.68371660606872,-0.500886066710406,-0.719863009107116,0.950097622049548,-0.842230950006655,-0.13782312040588,-0.647712587098029,-1.09359657064953,0.966894173540506,-0.972558878902434,-0.293343769598173,-0.579351629430938,-0.180632174599482,40.987579,-79.725726,0,0.640696541697897
"219","253","110",1,"NORTHERN LEBANON SCHOOL DISTRICT","Regular local school district",0,1,8,47.74,29.12,40.1,29.38,296,2,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.164219541499503,0.605755045934258,-0.0598084838092568,0.520160687709971,-0.159483531223837,-0.402734836094313,-0.68371660606872,-0.462663937506759,0.438940013834682,0.263084907997186,-0.760327628442412,-0.340490527822627,-0.0014390415176583,-0.0386360781569192,-0.275188702137535,0.267225942315511,0.769509694916062,1.30770100167897,-0.442714131755469,40.435884,-76.445803,1,0.61471736889392
"220","282","110",1,"PENNS MANOR AREA SCHOOL DISTRICT","Regular local school district",0,8,1,43.25,27.75,37.75,20.35,327,2,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.400416069016499,-0.274933173972104,-0.0832387166760165,-0.0944545843913084,-0.492463790975697,-0.402734836094313,0.209410583534137,-0.43973065998457,-0.685271874093928,0.862491973948911,-0.896833164382817,0.516503080682473,-0.551968358123159,0.251478057278548,1.03589877774484,-1.04143581341454,0.29713037735418,-0.579351629430938,0.212490761134499,40.638296,-78.947735,0,0.535007315499996
"221","255","111",1,"NORTHERN POTTER SCHOOL DISTRICT","Regular local school district",0,6,3,44.15,20.75,41.85,23.4,298,2,"PreKF, K4F, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.433149358752625,-0.470641667284629,-0.0886022639587687,1.35041498584073,0.173496728528023,-0.517729504903573,-0.68371660606872,-0.523819344232595,-0.633385171574146,0.913211033375595,-0.896833164382817,0.875513916677853,-0.551968358123159,0.620714229650961,0.828884965131833,-0.834805009878216,-0.411438598988643,-0.201941103208956,0.474572718290486,41.923125,-77.736936,1,0.599987203159513
"222","81","111",1,"CONEWAGO VALLEY SCHOOL DISTRICT","Regular local school district",0,8,1,52,34.25,46.65,29.1,96,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.132619712265473,-0.030297557331448,-0.0349667911312464,-0.153478793513314,-0.159483531223837,-0.448732703618017,0.209410583534137,-0.370930827418004,0.758908012706672,-0.0504510957314076,-0.24160659186887,0.0127298108179888,-0.0971832704925281,-0.592490336715538,0.138838923088479,-0.146035664757138,-0.470486013683878,1.21334837012348,-0.180632174599482,39.868979,-77.053104,0,0.525981631999654
