DistrictName,DistrictType,Virtual,Hybrid,In_Person
Independence CS West,Charter agency,9,0,0
Indiana Area SD,Regular local school district,0,3,6
Indiana County Technology Center,Specialized public school district,0,0,0
Infinity CS,Charter agency,0,0,0
Innovative Arts Academy CS,Charter agency,0,0,0
Inquiry CS,Charter agency,9,0,0
Interboro SD,Regular local school district,1,4,4
Iroquois SD,Regular local school district,0,8,1
Jamestown Area SD,Regular local school district,2,7,0
Jeannette City SD,Regular local school district,2,4,3
Jefferson County-DuBois AVTS,Specialized public school district,0,9,0
Jefferson-Morgan SD,Regular local school district,1,6,2
Jenkintown SD,Regular local school district,0,7,2
Jersey Shore Area SD,Regular local school district,0,9,0
Jim Thorpe Area SD,Regular local school district,0,0,9
John B Stetson CS,Charter agency,9,0,0
Johnsonburg Area SD,Regular local school district,0,9,0
Juniata County SD,Regular local school district,2,7,0
Juniata Valley SD,Regular local school district,0,8,1
KIPP DuBois CS,Charter agency,9,0,0
KIPP North Philadelphia CS,Charter agency,6,0,3
KIPP Philadelphia CS,Charter agency,9,0,0
KIPP West Philadelphia CS,Charter agency,9,0,0
Kane Area SD,Regular local school district,0,5,4
Karns City Area SD,Regular local school district,0,9,0
Kennett Consolidated SD,Regular local school district,1,7,1
Keystone Academy CS,Charter agency,9,0,0
Keystone Central CTC,Specialized public school district,0,0,0
Keystone Central SD,Regular local school district,2,7,0
Keystone Education Center CS,Charter agency,1,6,2
Keystone Oaks SD,Regular local school district,0,9,0
Keystone SD,Regular local school district,1,6,2
Kiski Area SD,Regular local school district,0,9,0
Kutztown Area SD,Regular local school district,0,0,9
La Academia Partnership CS,Charter agency,9,0,0
Laboratory CS,Charter agency,9,0,0
Lackawanna Trail SD,Regular local school district,0,0,9
Lake-Lehman SD,Regular local school district,0,4,5
Lakeland SD,Regular local school district,1,3,5
Lakeview SD,Regular local school district,1,6,2
Lampeter-Strasburg SD,Regular local school district,0,0,0
Lancaster County CTC,Specialized public school district,0,1,8
Lancaster SD,Regular local school district,3,5,1
Laurel Highlands SD,Regular local school district,0,9,0
Laurel SD,Regular local school district,2,2,5
Lawrence County CTC,Specialized public school district,2,7,0
Lebanon County CTC,Specialized public school district,0,0,0
Lebanon SD,Regular local school district,0,9,0
Leechburg Area SD,Regular local school district,0,9,0
Lehigh Career & Technical Institute,Specialized public school district,0,0,0
Lehigh Valley Academy Regional CS,Charter agency,3,6,0
Lehigh Valley Charter High School for the Arts,Charter agency,0,0,0
Lehigh Valley Dual Language CS,Charter agency,5,4,0
Lehighton Area SD,Regular local school district,0,9,0
Lenape Tech,Specialized public school district,0,9,0
Lewisburg Area SD,Regular local school district,0,4,5
Ligonier Valley SD,Regular local school district,1,6,2
Lincoln CS,Charter agency,0,0,0
Lincoln Leadership Academy CS,Charter agency,9,0,0
Lincoln Park Performing Arts CS,Charter agency,2,7,0
Lindley Academy CS at Birney,Charter agency,7,2,0
Line Mountain SD,Regular local school district,0,9,0
Littlestown Area SD,Regular local school district,2,2,5
Lower Dauphin SD,Regular local school district,0,7,2
Lower Merion SD,Regular local school district,0,6,3
Lower Moreland Township SD,Regular local school district,0,9,0
Loyalsock Township SD,Regular local school district,0,6,3
Lycoming CTC,Specialized public school district,0,0,0
MAST Community CS,Charter agency,7,2,0
MaST Community CS II,Charter agency,6,3,0
MaST Community CS III,Charter agency,6,3,0
Mahanoy Area SD,Regular local school district,0,9,0
Manchester Academic CS,Charter agency,6,3,0
Manheim Central SD,Regular local school district,0,9,0
Manheim Township SD,Regular local school district,0,7,2
Mariana Bracetti Academy CS,Charter agency,9,0,0
Marion Center Area SD,Regular local school district,1,6,2
