StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,2/1/21,2/28/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,3/1/21,3/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allentown City SD,Regular local school district,4202280,121390302,16231,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,12/1/20,12/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,1/1/21,1/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,2/1/21,2/28/21,,,,,,,,,,,,,
